trt	ano	mes	recebidos
1	2004	1	3651
2	2004	1	6028
3	2004	1	2866
4	2004	1	2537
5	2004	1	978
6	2004	1	893
7	2004	1	316
8	2004	1	328
9	2004	1	2313
10	2004	1	846
11	2004	1	517
12	2004	1	981
13	2004	1	537
14	2004	1	119
15	2004	1	4599
16	2004	1	289
17	2004	1	829
18	2004	1	466
19	2004	1	301
20	2004	1	270
21	2004	1	164
22	2004	1	151
23	2004	1	101
24	2004	1	264
1	2004	2	3113
2	2004	2	8178
3	2004	2	3251
4	2004	2	2535
5	2004	2	1710
6	2004	2	840
7	2004	2	283
8	2004	2	613
9	2004	2	2839
10	2004	2	970
11	2004	2	428
12	2004	2	923
13	2004	2	580
14	2004	2	154
15	2004	2	4778
16	2004	2	179
17	2004	2	522
18	2004	2	597
19	2004	2	280
20	2004	2	290
21	2004	2	291
22	2004	2	242
23	2004	2	280
24	2004	2	329
1	2004	3	4748
2	2004	3	11357
3	2004	3	5901
4	2004	3	3872
5	2004	3	2959
6	2004	3	1373
7	2004	3	416
8	2004	3	894
9	2004	3	3423
10	2004	3	1271
11	2004	3	640
12	2004	3	1496
13	2004	3	644
14	2004	3	178
15	2004	3	5629
16	2004	3	300
17	2004	3	1285
18	2004	3	768
19	2004	3	414
20	2004	3	370
21	2004	3	303
22	2004	3	328
23	2004	3	449
24	2004	3	375
1	2004	4	4414
2	2004	4	8226
3	2004	4	3587
4	2004	4	3558
5	2004	4	2462
6	2004	4	1057
7	2004	4	411
8	2004	4	621
9	2004	4	2774
10	2004	4	989
11	2004	4	447
12	2004	4	1465
13	2004	4	455
14	2004	4	161
15	2004	4	5539
16	2004	4	189
17	2004	4	689
18	2004	4	650
19	2004	4	347
20	2004	4	254
21	2004	4	262
22	2004	4	296
23	2004	4	410
24	2004	4	273
1	2004	5	4118
2	2004	5	7773
3	2004	5	4984
4	2004	5	3970
5	2004	5	2302
6	2004	5	1139
7	2004	5	540
8	2004	5	803
9	2004	5	2607
10	2004	5	1081
11	2004	5	510
12	2004	5	1234
13	2004	5	670
14	2004	5	183
15	2004	5	6421
16	2004	5	473
