id	sexo	idade	vinculo	estacionamento	instalacoes	ambiente
1	Feminino	36	Servidor	Regular	Bom	Bom
2	Feminino	42	Servidor	Regular	Ótimo	Bom
3	Feminino	31	Servidor	Ruim	Ótimo	Bom
4	Masculino	22	Estagiário	Bom	Ótimo	Ótimo
5	Feminino	36	Servidor	Bom	Bom	Bom
6	Feminino	29	Servidor	Regular	Bom	Ótimo
7	Feminino	35	Terceirizado	Ruim	Bom	Ótimo
8	Feminino	40	Servidor	Ótimo	Ótimo	Regular
9	Feminino	37	Servidor	Regular	Ótimo	Regular
10	Masculino	21	Estagiário	Ótimo	Regular	Ótimo
11	Feminino	23	Estagiário	Regular	Ótimo	Ótimo
12	Feminino	33	Servidor	Bom	Ótimo	Ótimo
13	Masculino	18	Estagiário	Ótimo	Ótimo	Ótimo
14	Feminino	19	Estagiário	Regular	Regular	Ótimo
15	Feminino	21	Estagiário	Bom	Bom	Ótimo
16	Feminino	30	Servidor	Regular	Ótimo	Bom
17	Feminino	32	Servidor	Bom	Bom	Regular
18	Feminino	29	Servidor	Ruim	Ótimo	Bom
19	Masculino	35	Servidor	Regular	Bom	Ótimo
20	Feminino	45	Servidor	Bom	Bom	Regular
21	Masculino	28	Terceirizado	Regular	Ótimo	Ótimo
22	Masculino	32	Servidor	Regular	Ótimo	Bom
23	Masculino	39	Servidor	Bom	Bom	Ruim
24	Feminino	38	Servidor	Ruim	Ótimo	Ótimo
25	Feminino	30	Servidor	Bom	Bom	Ótimo
26	Masculino	27	Servidor	Bom	Bom	Bom
27	Masculino	21	Estagiário	Bom	Ótimo	Ótimo
28	Feminino	37	Servidor	Ótimo	Ótimo	Bom
29	Masculino	43	Servidor	Regular	Bom	Regular
30	Masculino	18	Estagiário	Ruim	Ótimo	Bom
31	Feminino	33	Servidor	Bom	Ótimo	Ótimo
32	Feminino	38	Servidor	Ótimo	Bom	Ótimo
33	Feminino	40	Servidor	Ruim	Bom	Ótimo
34	Masculino	37	Servidor	Ótimo	Ótimo	Regular
35	Masculino	22	Estagiário	Regular	Ótimo	Ótimo
36	Feminino	32	Servidor	Bom	Ótimo	Ótimo
37	Masculino	35	Servidor	Regular	Ótimo	Bom
38	Feminino	21	Estagiário	Regular	Bom	Ótimo
39	Masculino	20	Estagiário	Regular	Ótimo	Ótimo
40	Masculino	40	Terceirizado	Ótimo	Ótimo	Ótimo
41	Masculino	31	Servidor	Bom	Ótimo	Bom
42	Feminino	36	Terceirizado	Bom	Ótimo	Ótimo
43	Feminino	34	Servidor	Bom	Regular	Regular
44	Masculino	36	Servidor	Bom	Bom	Bom
45	Masculino	34	Terceirizado	Regular	Bom	Ótimo
46	Feminino	37	Servidor	Ruim	Ótimo	Bom
47	Masculino	27	Servidor	Regular	Ótimo	Bom
48	Masculino	39	Servidor	Bom	Bom	Ótimo
49	Feminino	23	Estagiário	Ruim	Ótimo	Ótimo
50	Feminino	40	Servidor	Bom	Bom	Bom
51	Masculino	43	Terceirizado	Regular	Ótimo	Ótimo
52	Masculino	33	Servidor	Bom	Ótimo	Bom
53	Masculino	41	Servidor	Bom	Ótimo	Bom
