id	sexo	idade	vinculo	estacionamento	instalacoes	ambiente
1	Masculino	27	Servidor	Ruim	Regular	Ótimo
2	Feminino	50	Servidor	Bom	Regular	Bom
3	Feminino	37	Servidor	Bom	Bom	Regular
4	Feminino	39	Servidor	Bom	Ótimo	Regular
5	Feminino	34	Servidor	Regular	Ótimo	Bom
6	Feminino	31	Servidor	Ruim	Ótimo	Bom
7	Masculino	23	Estagiário	Bom	Ótimo	Ótimo
8	Masculino	29	Servidor	Ruim	Bom	Regular
9	Masculino	26	Terceirizado	Ruim	Bom	Bom
10	Masculino	40	Terceirizado	Regular	Ótimo	Ótimo
11	Feminino	43	Servidor	Regular	Bom	Bom
12	Masculino	36	Servidor	Regular	Bom	Bom
13	Masculino	40	Terceirizado	Regular	Ótimo	Bom
14	Feminino	33	Servidor	Regular	Ótimo	Bom
15	Feminino	27	Servidor	Bom	Ótimo	Bom
16	Feminino	32	Servidor	Bom	Ótimo	Ótimo
17	Feminino	29	Servidor	Bom	Ruim	Regular
18	Feminino	33	Terceirizado	Ruim	Ótimo	Bom
19	Masculino	18	Estagiário	Ótimo	Ótimo	Ótimo
20	Masculino	26	Servidor	Bom	Bom	Ótimo
21	Feminino	36	Servidor	Bom	Bom	Ótimo
22	Masculino	45	Servidor	Regular	Ótimo	Bom
23	Feminino	34	Servidor	Bom	Ótimo	Bom
24	Feminino	32	Servidor	Regular	Ótimo	Regular
25	Feminino	42	Servidor	Bom	Bom	Ótimo
26	Masculino	22	Servidor	Regular	Bom	Bom
27	Feminino	19	Estagiário	Bom	Regular	Ótimo
28	Masculino	19	Estagiário	Bom	Ótimo	Ótimo
29	Masculino	32	Servidor	Regular	Bom	Bom
30	Masculino	36	Terceirizado	Bom	Ótimo	Ótimo
31	Feminino	40	Servidor	Regular	Ótimo	Regular
32	Feminino	30	Terceirizado	Regular	Bom	Bom
33	Feminino	25	Servidor	Bom	Ótimo	Bom
34	Feminino	29	Servidor	Bom	Bom	Ótimo
35	Feminino	25	Servidor	Regular	Ótimo	Bom
36	Feminino	20	Estagiário	Ruim	Bom	Ótimo
37	Feminino	31	Servidor	Bom	Ótimo	Bom
38	Masculino	22	Estagiário	Regular	Bom	Bom
39	Feminino	35	Servidor	Bom	Ótimo	Bom
40	Masculino	40	Terceirizado	Regular	Ruim	Bom
41	Feminino	30	Servidor	Regular	Bom	Ruim
42	Feminino	29	Servidor	Bom	Bom	Bom
43	Feminino	44	Servidor	Bom	Ótimo	Bom
44	Masculino	36	Servidor	Bom	Ótimo	Bom
45	Feminino	35	Servidor	Regular	Ótimo	Bom
46	Feminino	33	Servidor	Regular	Ótimo	Bom
47	Masculino	34	Servidor	Regular	Ótimo	Ótimo
48	Masculino	35	Terceirizado	Bom	Bom	Ótimo
49	Feminino	21	Estagiário	Bom	Bom	Ótimo
50	Masculino	39	Servidor	Regular	Ótimo	Bom
51	Feminino	19	Estagiário	Bom	Regular	Ótimo
52	Masculino	44	Terceirizado	Ruim	Ótimo	Ótimo
53	Masculino	33	Servidor	Regular	Ótimo	Regular
54	Masculino	42	Terceirizado	Ruim	Bom	Ótimo
55	Masculino	41	Terceirizado	Bom	Ótimo	Ótimo
56	Feminino	18	Estagiário	Regular	Ruim	Ótimo
57	Masculino	18	Estagiário	Bom	Ótimo	Regular
58	Feminino	32	Servidor	Bom	Bom	Bom
59	Masculino	44	Servidor	Regular	Bom	Bom
60	Masculino	32	Servidor	Bom	Ruim	Regular
61	Feminino	33	Servidor	Bom	Ótimo	Regular
62	Masculino	22	Estagiário	Ótimo	Ótimo	Ótimo
63	Masculino	29	Terceirizado	Bom	Bom	Ótimo
64	Feminino	34	Servidor	Regular	Bom	Bom
65	Masculino	29	Servidor	Regular	Ótimo	Bom
66	Feminino	35	Servidor	Bom	Ótimo	Bom
67	Feminino	45	Servidor	Bom	Bom	Regular
68	Masculino	40	Terceirizado	Ruim	Ótimo	Ótimo
69	Feminino	30	Terceirizado	Bom	Ótimo	Ótimo
70	Feminino	41	Terceirizado	Regular	Ótimo	Ótimo
71	Feminino	31	Servidor	Regular	Ótimo	Bom
72	Feminino	29	Servidor	Regular	Ótimo	Bom
73	Masculino	37	Terceirizado	Ruim	Ruim	Ótimo
74	Masculino	33	Servidor	Regular	Bom	Bom
