ano	mes	recebidos
2004	1	6232
2004	2	10681
2004	3	13495
2004	4	11085
2004	5	12991
2004	6	15099
2004	7	10068
2004	8	13428
2004	9	12099
2004	10	10631
2004	11	8651
2004	12	8647
2005	1	5007
2005	2	11098
2005	3	11364
2005	4	11167
2005	5	11253
2005	6	11023
2005	7	8389
2005	8	13619
2005	9	11850
2005	10	11970
2005	11	10067
2005	12	396
2006	1	2274
2006	2	15329
2006	3	16661
2006	4	14688
2006	5	12267
2006	6	11042
2006	7	11146
2006	8	14882
2006	9	12406
2006	10	13520
2006	11	12776
2006	12	8062
2007	1	8316
2007	2	12043
2007	3	14746
2007	4	10401
2007	5	15355
2007	6	16834
2007	7	13831
2007	8	17727
2007	9	13355
2007	10	16489
2007	11	14921
2007	12	11448
2008	1	9974
2008	2	14944
2008	3	13487
2008	4	17933
2008	5	15856
2008	6	17877
2008	7	13064
2008	8	12591
2008	9	17351
2008	10	27536
2008	11	8428
2008	12	14194
2009	1	4326
2009	2	22229
2009	3	14655
2009	4	18795
2009	5	22846
2009	6	20157
2009	7	8146
2009	8	20938
2009	9	20359
2009	10	20355
2009	11	20731
2009	12	12699
2010	1	8304
2010	2	16294
2010	3	18707
2010	4	19089
2010	5	20837
2010	6	19052
2010	7	6255
2010	8	12787
2010	9	20964
2010	10	22558
2010	11	21448
2010	12	17916
2011	1	8341
2011	2	15228
2011	3	14026
2011	4	17854
2011	5	19589
2011	6	19877
2011	7	14547
2011	8	24222
2011	9	24066
2011	10	20942
2011	11	19285
2011	12	13757
2012	1	14166
2012	2	20346
2012	3	24741
2012	4	19679
2012	5	20598
2012	6	22179
2012	7	16026
2012	8	21542
2012	9	17890
2012	10	19933
2012	11	24567
2012	12	15614
2013	1	16668
2013	2	19396
2013	3	26580
2013	4	26290
2013	5	29032
2013	6	25094
2013	7	22622
2013	8	29861
2013	9	27279
2013	10	30086
2013	11	28477
2013	12	19936
2014	1	15973
2014	2	25898
2014	3	27965
2014	4	29497
2014	5	32957
2014	6	23892
2014	7	25292
2014	8	28797
2014	9	29140
2014	10	27204
2014	11	25851
2014	12	16567
2015	1	17129
2015	2	21663
2015	3	30711
2015	4	28469
2015	5	26607
2015	6	24196
2015	7	21536
2015	8	21317
2015	9	29823
2015	10	26542
2015	11	25477
2015	12	17984
